link,description,date,label
https://amzn.clnk.in/iQby,Crompton 5 Meter Strip Light Cool Day Light 300 LEDs (Pack of 4) @1279  ,2024-04-23 17:14:42+00:00,Household
https://cred.onelink.me/spQx/0olbsazb,🔥Cred Loot : Pack of 3 Organic Candy @149    Other Sites Selling at ₹235.  Don’t Miss the Noodle Loot.,2024-04-23 16:51:46+00:00,Grocery & Gourmet Foods
https://amzn.clnk.in/iQaM,"▪️Samsung 183L, 5 Star Digital Inverter Refrigerator @14271(Effectively)  Apply ₹750 Off Coupon    ₹1500 Off via Onecard/HDFC Credit Card + ₹984 No Cost EMI Discount  ▪️Samsung 183L, 4 Star Digital Inverter Refrigerator @13288 (Effectively)  Apply ₹500 Off Coupon    ₹1500 Off via Onecard/HDFC Credit Card + ₹901 No Cost EMI Discount",2024-04-23 16:14:04+00:00,Electronics
https://fkrt.cc/EQNAc9B2,"JBL Flip Essential 2, Deep Bass, 10Hrs Playtime @3799    Extra 500 Off Using 50 Coins + Extra 200 Rs Cashback Using Flipkart Axis Card",2024-04-23 16:05:35+00:00,Electronics
https://amzn.clnk.in/iQao,"OnePlus Pad 29.49cm (11.61 inch) LCD Display, 12GB RAM,256GB Storage @26689 (Effectively)    ₹8309 Off Using ICICI Rupay Credit Cards No Cost Emi Transaction.",2024-04-23 15:37:09+00:00,Electronics
https://amzn.clnk.in/iP98,Pond's Bright Beauty Anti-Pigmentation Serum 14ml @144  ,2024-04-23 15:17:12+00:00,Health & Beauty
https://amzn.clnk.in/iP9U,"All Out Ultra Liquid Vaporizer, Machine + 3 Refills (45ml each) @198  ",2024-04-23 14:58:52+00:00,Household
https://amzn.clnk.in/iP9S,Syska Hair Dryer + Livon Hair Serum (100ml x 2) @639  Apply 10% Off Coupon  ,2024-04-23 14:57:59+00:00,Health & Beauty
https://fkrt.cc/E5RNWhc9,64% off: LIVON Style Pro Keratin Hair Serum @239  ,2024-04-23 14:54:08+00:00,Health & Beauty
https://amzn.clnk.in/iP9C,Bajaj 1000W Dry Iron @560  ,2024-04-23 14:47:29+00:00,Grocery & Gourmet Foods
https://amzn.clnk.in/iP9B,"ORION Strawberry Chocopie Valentines gift pack, 500g @205  Apply ₹50 off Coupon  ",2024-04-23 14:47:04+00:00,Grocery & Gourmet Foods
https://fkrt.cc/EoUGb9UC,HP Laptop Backpacks From @269  ,2024-04-23 14:34:58+00:00,Electronics
https://amzn.clnk.in/iP9r,58% Off : ZEBRONICS Curve Wireless Mouse @499  ,2024-04-23 14:33:18+00:00,Electronics
https://amzn.clnk.in/iPTv,Ambrane 12W Fast Car Charger @199  ,2024-04-23 14:32:23+00:00,Electronics
https://amzn.clnk.in/iP9q,103 : ,2024-04-23 14:32:00+00:00,Books
https://amzn.clnk.in/iP9a,Window Curtain (Pack of 2) @299  ,2024-04-23 14:12:27+00:00,Furniture
https://amzn.clnk.in/iP87,876 : ,2024-04-23 14:10:35+00:00,Books
https://fkrt.cc/EiAnOker,Lenskart Computer Glass Starts @735  ,2024-04-23 13:29:22+00:00,Books
https://amzn.clnk.in/iP71,VW Sonic Bar 120W Soundbar 2.1 Channel Home Theatre @3999  ,2024-04-23 13:26:13+00:00,Books
https://amzn.clnk.in/iPuH,Havells Room Heater 1500W @2902  ,2024-04-23 13:24:46+00:00,Furniture
https://amzn.clnk.in/iP7X,Dabur Glucose-D 1 kg Powder @143  Apply 10% Off Coupon  ,2024-04-23 13:22:49+00:00,Grocery & Gourmet Foods
https://amzn.clnk.in/iP7W,Intex High Output Air Balloon Pump @199  ,2024-04-23 13:22:09+00:00,Electronics
https://amzn.clnk.in/iP65,"Polycab 6W LED Panel Light (Warm White, 3000K, 10 PCS) @2687  ",2024-04-23 12:09:18+00:00,Furniture
https://amzn.clnk.in/iP6S,226 : ,2024-04-23 12:00:47+00:00,Books
https://amzn.clnk.in/iP6K,"Rose Powder Face Wash, 15g @99  ",2024-04-23 11:40:24+00:00,Health & Beauty
https://amzn.clnk.in/iP6J,hilips Audio Slim & Lightweight Bluetooth Wireless Over Ear Headphones @3564  ,2024-04-23 11:38:28+00:00,Electronics
https://amzn.clnk.in/iP6H,"Portronics Mport 4D USB Hub (4-in-1), Multiport USB Dock @249  ",2024-04-23 11:30:30+00:00,Electronics
https://fkrt.cc/Enjs2gR0,799 : ,2024-04-23 11:18:24+00:00,Books
https://amzn.clnk.in/ipvu,"Cello Style Knit Small Basket Without Lid, Set of 3 @280  ",2024-04-23 11:17:41+00:00,Furniture
https://amzn.clnk.in/iP6w,CP PLUS 2.4MP IR Bullet Outdoor Security Camera @899  ,2024-04-23 11:16:35+00:00,Sports & Outdoors
https://amzn.clnk.in/iP6n,Crompton TRIO 22W Batten Direct +Indirect Light @449  ,2024-04-23 11:13:45+00:00,Books
https://fkrt.cc/ES4akDNo,▪️Intex 55W BT Home Theatre @1999    ▪️ZEBRONICS 60W BT Home Theatre @2299  ,2024-04-23 11:08:56+00:00,Books
https://amzn.clnk.in/iP6a,Samsung Galaxy Buds Fe @3999/4599     3500 Off With Canara Bank  3000 Off With All Bank Cards,2024-04-23 11:06:34+00:00,Electronics
https://fkrt.cc/EfN39XUb,HP Chromebook @13990  ,2024-04-23 09:12:26+00:00,Electronics
https://fkrt.cc/EGtvaG7q,53% Off : Dabur Himalayan Apple Cider Vinegar (2 x 500ml) @420  ,2024-04-23 09:10:21+00:00,Grocery & Gourmet Foods
https://fkrt.cc/EKpatfw0,🔥81% Off : Kamiliant by American Tourister Suitcase   Small Size @1399 :  Medium Size @1749 :  Large Size @2049 :   Pack Of 2 @3099 :  Pack Of 3 @4599 :   Min. 80% Off On Safari Luggage  S Size from Rs.1449 :  M Size from Rs.1849 :  L Size from Rs.2199 :   Pack Of 2 from Rs.3249 :  Pack Of 3 from Rs.5099 : ,2024-04-23 09:06:25+00:00,Household
https://amzn.clnk.in/iP4I,🔥Upto 87% Off : Clovia Women's Clothing  Pyjama Set :  Nightwear :  Innerwear :  ,2024-04-23 09:04:35+00:00,Clothing & Accessories
